acc_is,acc_ml,acc_pa,gyr_is,gyr_ml,gyr_pa
6.727723866,-0.640615367,-0.079713775,1.810546633,-0.905273316,-0.44690708
6.788324557,-0.624009097,-0.091865031,1.764710009,-0.802140913,-0.790681757
6.797147992,-0.639879421,-0.091879806,1.535526891,-0.710467666,-0.572957795
6.780977324,-0.633557366,-0.148411488,1.615740982,-0.802140913,-0.618794419
6.792805884,-0.639901101,-0.150199981,1.707414229,-1.100078967,-0.836518381
6.793811639,-0.637546701,-0.093168649,1.799087477,-1.65011845,-0.744845134
6.802794064,-0.600977081,-0.100877492,1.271966305,-2.211617089,-0.538580327
6.780159971,-0.668717583,-0.1371011,0.974028252,-2.440800207,-0.435447924
6.821241293,-0.684580255,-0.085936912,1.329262085,-2.245994557,-0.469825392
6.824968946,-0.663894301,-0.049220728,1.363639552,-2.40642274,-0.538580327
6.815915351,-0.652222265,-0.046052729,1.317802929,-1.8449241,-0.641712731
6.800620444,-0.651889902,-0.058459395,1.39801702,-1.684495918,-0.423988768
6.765321222,-0.648818293,-0.066577366,1.271966305,-1.478231111,-0.561498639
6.763321713,-0.675692788,-0.073367719,1.054242343,-1.329262085,-0.263560586
6.78088791,-0.674996768,-0.071985509,1.20321137,-1.294884617,-0.412529612
6.771611993,-0.660279708,-0.047456096,1.088619811,-1.535526891,-0.939650784
6.808785029,-0.676248034,-0.074977315,0.870895849,-1.14591559,-0.687549354
6.799469642,-0.677102975,-0.073283299,0.710467666,-0.905273316,-0.423988768
6.797382592,-0.639734331,-0.063282009,0.676090198,-0.985487408,-0.355233833
6.757160798,-0.624722088,-0.092244123,0.75630429,-0.847977537,-0.263560586
6.748386683,-0.60785909,-0.080046668,0.676090198,-0.928191628,-0.343774677
6.764940605,-0.598203696,-0.120351633,0.790681757,-0.905273316,-0.561498639
6.772400767,-0.574095719,-0.105394821,0.89381416,-0.847977537,-0.217723962
6.782113628,-0.610644051,-0.090651244,0.962569096,-1.191752214,-0.286478898
6.803740926,-0.625118412,-0.068939388,1.065701499,-1.283425461,-0.275019742
6.767916665,-0.624690892,-0.135688299,1.512608579,-1.122997278,0.080214091
6.785743335,-0.602000656,-0.110648622,1.352180397,-1.249047993,-0.332315521
6.820944263,-0.590376002,-0.112907217,1.054242343,-1.39801702,-0.343774677
6.814505602,-0.603966384,-0.144411429,1.443853644,-1.249047993,-0.217723962
6.830493903,-0.588200243,-0.124269075,1.822005789,-1.226129682,-0.366692989
6.824339786,-0.596420728,-0.100328867,2.028270595,-1.535526891,-0.206264806
6.800475189,-0.60299951,-0.086154725,1.730332541,-1.741791697,0.011459156
6.813814566,-0.566560854,-0.107481455,1.615740982,-1.833464944,0.080214091
6.755537953,-0.603096335,-0.112959797,1.753250853,-1.627200138,0.148969027
6.735256726,-0.628078874,-0.105629144,1.638659294,-1.386557864,-0.05729578
6.728493079,-0.618581028,-0.120947982,1.569904359,-1.283425461,-0.068754935
6.755106906,-0.641484533,-0.139702716,1.627200138,-1.283425461,0.217723962
6.790269474,-0.656654128,-0.139511332,1.59282267,-1.14591559,-0.25210143
6.803909211,-0.634141159,-0.125267407,1.695955074,-1.271966305,-0.458366236
6.810567211,-0.650884475,-0.090865866,1.535526891,-1.546986047,-0.309397209
6.830668223,-0.611261787,-0.081665282,1.833464944,-1.340721241,-0.137509871
6.822859491,-0.616020716,-0.066919208,1.260507149,-1.478231111,-0.355233833
6.817562405,-0.621688443,-0.071458596,1.031324031,-1.466771956,-0.183346494
6.818956477,-0.625996211,-0.08544066,0.779222601,-1.386557864,0.103132403
6.812137406,-0.616552516,-0.070695557,0.89381416,-1.271966305,0.229183118
6.824583334,-0.644480114,-0.075635817,0.69900851,-1.466771956,0.263560586
6.822044357,-0.643971368,-0.080500468,0.595876107,-1.856383256,0.378152145
6.809215106,-0.652899743,-0.094543991,0.469825392,-2.119943842,0.572957795
6.806659689,-0.667439733,-0.123069369,0.676090198,-1.982433971,0.435447924
6.786378738,-0.66641135,-0.104744435,0.538580327,-2.257453713,0.435447924
6.790767738,-0.621347252,-0.157432203,0.515662016,-2.303290336,0.309397209
6.777579928,-0.596379821,-0.151155167,0.25210143,-1.90221988,0.435447924
6.780839353,-0.624246989,-0.109189275,0.034377468,-1.271966305,0.836518381
6.791065185,-0.57395004,-0.107971118,0.435447924,-1.283425461,0.584416951
6.776006681,-0.582794736,-0.134457101,0.572957795,-1.524067735,0.813600069
6.795438369,-0.615878275,-0.127958715,0.492743704,-1.615740982,0.916732472
6.812932077,-0.630903859,-0.119994739,0.69900851,-1.340721241,0.630253575
6.796493721,-0.622372102,-0.127075809,0.309397209,-1.799087477,0.802140913
6.810810828,-0.578116053,-0.098657396,0.034377468,-2.028270595,0.974028252
6.806821106,-0.577246004,-0.139907974,-0.068754935,-2.09702553,0.802140913
6.787292998,-0.595258341,-0.176928403,0.045836624,-1.569904359,0.790681757
6.816851114,-0.604494751,-0.158475555,0.412529612,-1.627200138,0.847977537
6.786482165,-0.6068363,-0.145274635,0.813600069,-1.764710009,0.825059225
6.789582877,-0.619673371,-0.181992692,0.882355005,-1.581363515,0.44690708
6.799836595,-0.651064881,-0.195347607,0.962569096,-1.604281826,0.618794419
6.7770963,-0.646747009,-0.148930701,0.985487408,-1.810546633,0.630253575
6.780122929,-0.612759185,-0.154303882,0.572957795,-1.707414229,0.721926822
6.791106458,-0.617333981,-0.144962413,0.50420286,-1.8449241,0.75630429
6.794571487,-0.625884769,-0.105881293,0.229183118,-2.028270595,1.042783187
6.78066427,-0.64225089,-0.154142812,0.343774677,-1.90221988,0.779222601
6.786933606,-0.650298131,-0.153810959,0.481284548,-1.604281826,0.985487408
6.760827478,-0.664103548,-0.134463136,0.148969027,-1.466771956,0.962569096
6.760111956,-0.677910829,-0.17820025,0.481284548,-1.386557864,0.75630429
6.74404194,-0.647795894,-0.179634555,0.05729578,-1.226129682,0.916732472
6.734818464,-0.649987547,-0.195275049,0.206264806,-1.077160655,1.088619811
6.738921116,-0.601902164,-0.209916171,0.630253575,-1.111538123,0.882355005
6.732722326,-0.601923157,-0.178259559,0.481284548,-1.111538123,0.916732472
6.752141251,-0.691876247,-0.140694389,0.435447924,-0.721926822,0.423988768
6.786099674,-0.663037397,-0.141394096,0.538580327,-0.401070457,0.412529612
6.791048259,-0.657285794,-0.136942804,0.584416951,-0.423988768,0.733385978
6.77824398,-0.652987837,-0.154505671,0.790681757,-0.641712731,1.019864875
6.784813121,-0.665567887,-0.158525152,0.44690708,-0.802140913,0.733385978
6.783712958,-0.672265566,-0.189895972,0.802140913,-0.44690708,0.469825392
6.772480539,-0.689990863,-0.186880095,0.641712731,-0.618794419,0.710467666
6.791605139,-0.667240295,-0.166210897,0.847977537,-0.561498639,0.206264806
6.807843023,-0.644627166,-0.162025975,1.191752214,-0.481284548,0.229183118
6.802296285,-0.673801223,-0.172808201,0.89381416,-0.343774677,0.435447924
6.80763402,-0.663147563,-0.167171979,1.019864875,-0.469825392,0.297938053
6.797473879,-0.676398813,-0.16746235,0.985487408,-0.905273316,0.137509871
6.781256527,-0.652646743,-0.124593297,0.767763445,-1.249047993,0.263560586
6.778318134,-0.683750231,-0.130626715,0.847977537,-1.100078967,0.217723962
6.783775527,-0.652901705,-0.147892899,0.630253575,-0.721926822,-0.05729578
6.764476538,-0.687316853,-0.134534376,0.44690708,-0.481284548,-0.148969027
6.75462189,-0.668066886,-0.161028614,0.595876107,-0.847977537,-0.137509871
6.754825067,-0.640793026,-0.167695146,0.584416951,-0.595876107,0.217723962
6.783448183,-0.653383867,-0.145452076,0.595876107,-0.653171886,0.114591559
6.771060177,-0.65101534,-0.157575238,0.767763445,-0.550039483,0.19480565
6.779749456,-0.651245679,-0.137642858,0.641712731,-0.240642274,0.137509871
6.781265892,-0.652650373,-0.155791184,0.630253575,-0.137509871,0.355233833
6.762561657,-0.64647125,-0.166854069,0.939650784,-0.721926822,-0.034377468
6.782611129,-0.613566156,-0.217819659,1.20321137,-0.423988768,-0.275019742
6.784571515,-0.610018369,-0.21314778,1.111538123,-0.206264806,0.022918312
6.803158727,-0.648334463,-0.175909121,0.974028252,-0.320856365,0.206264806
6.788507409,-0.64904559,-0.157699822,0.813600069,-0.091673247,0.148969027
6.787277598,-0.642103642,-0.218378481,0.89381416,-0.034377468,0.011459156
6.803063902,-0.637991388,-0.201360493,1.226129682,-0.080214091,-0.286478898
6.763056662,-0.622993762,-0.163236571,1.39801702,-0.297938053,-0.103132403
6.779908168,-0.649354213,-0.132645369,1.478231111,-0.263560586,-0.297938053
