acc_is,acc_ml,acc_pa,gyr_is,gyr_ml,gyr_pa
-0.637679528,-9.515726683,-0.220771303,-0.859436693,0.286478898,1.707414229
-0.641732824,-9.530995458,-0.169494924,-0.89381416,0.389611301,1.764710009
-0.640982948,-9.608625029,-0.169682981,-0.928191628,0.206264806,1.684495918
-0.630937213,-9.627142777,-0.142575205,-0.69900851,0.137509871,1.90221988
-0.620411574,-9.618621615,-0.139859797,-1.14591559,-0.595876107,2.108484686
-0.601472093,-9.60113372,-0.117555388,-1.134456434,-0.515662016,2.016811439
-0.593556208,-9.566940769,-0.167524879,-1.386557864,-0.114591559,1.822005789
-0.607818771,-9.62459669,-0.145137282,-1.478231111,0.011459156,1.363639552
-0.630318595,-9.563088873,-0.111077551,-1.466771956,-0.19480565,1.352180397
-0.591635999,-9.641028146,-0.19580966,-1.306343773,-0.05729578,1.741791697
-0.606449687,-9.605623561,-0.169358859,-1.409476176,-0.229183118,1.59282267
-0.622288031,-9.597675794,-0.137145272,-1.420935332,-0.240642274,1.352180397
-0.60147847,-9.580477981,-0.088215836,-1.14591559,-0.25210143,1.546986047
-0.594816205,-9.587778681,-0.144329134,-1.134456434,-0.297938053,1.661577606
-0.602380794,-9.550450454,-0.115963029,-1.443853644,-0.183346494,1.776169165
-0.573407449,-9.560231318,-0.164112177,-1.237588837,2.60E-16,1.501149423
-0.575691217,-9.530953275,-0.131159013,-1.077160655,-0.080214091,1.546986047
-0.595914827,-9.543454844,-0.115296636,-0.710467666,0.275019742,1.340721241
-0.634211497,-9.571833899,-0.135517792,-0.69900851,0.05729578,1.340721241
-0.650898307,-9.590282291,-0.142240585,-0.458366236,-0.080214091,1.386557864
-0.621435542,-9.599712153,-0.10505686,-0.171887339,-0.05729578,1.077160655
-0.61392893,-9.587154372,-0.135779131,-0.206264806,-0.022918312,1.271966305
-0.642365177,-9.532819922,-0.132006009,-0.435447924,-0.011459156,1.363639552
-0.631684637,-9.599703128,-0.05718406,-0.492743704,0.137509871,0.779222601
-0.613240169,-9.550123486,-0.11657272,-0.44690708,0.045836624,0.733385978
